#Sun Oct 30 08:26:39 2022
# Copy file into sbs-onl@sbsvtp#:~/cfg/pedestals for online pedestal subtraction
# format = APV        crate       slot       mpd_id       adc_ch followed by 
# APV channel number      pedestal mean      pedestal rms 
APV               20              11               7               0
               0              77           24.49
               1          -19.67           22.66
               2          -43.33           38.47
               3          -23.33           34.85
               4             -32           19.67
               5          -31.33           14.95
               6              20           16.16
               7               6           17.25
               8          -18.67           11.83
               9             -10           4.825
              10             -13           13.93
              11          -4.667           11.83
              12             -14           13.75
              13          -12.67           5.151
              14              -6           8.482
              15           6.667           7.922
              16          -6.333           6.728
              17          -12.33           7.328
              18             -11           4.922
              19               0           7.269
              20          -14.33           8.977
              21          -1.667           4.363
              22          -11.67           8.255
              23          -5.333           3.694
              24          -12.33           5.689
              25          -6.667           5.743
              26          -2.333            3.82
              27               2           6.595
              28         -0.3333           7.869
              29          -9.667            5.45
              30         -0.3333             5.9
              31           8.667           6.279
              32              -3           3.333
              33              -1           5.558
              34           42.33           6.678
              35           13.67           7.298
              36          -11.33           5.445
              37             -13           2.867
              38           2.667           11.45
              39           8.667           8.937
              40          -4.333           4.046
              41          0.3333           5.048
              42           18.33           9.076
              43           5.333           4.556
              44             -13           5.497
              45          -2.333           7.328
              46           16.67           5.858
              47           3.333           11.66
              48              -5           3.091
              49          -7.333           7.534
              50           30.33           13.77
              51          -11.33           5.665
              52           8.333           3.963
              53          0.3333           6.389
              54          -9.333           2.922
              55               8           6.106
              56          -3.667           5.938
              57          -10.67           6.314
              58          -19.33           9.011
              59          -2.333           10.65
              60          -5.667           8.092
              61          -2.667            8.13
              62          -13.33           5.194
              63         -0.6667           6.099
              64           2.333           5.631
              65          -9.333           2.077
              66           6.667           4.998
              67           13.67           7.267
              68          -2.667           4.201
              69           2.667           5.486
              70               4           5.883
              71           5.333           11.09
              72              -3           5.011
              73           13.67           2.434
              74              17           7.303
              75           5.667           9.209
              76           11.33          0.8714
              77              16           5.807
              78           11.67           5.178
              79           8.333           11.35
              80          -5.667           4.562
              81          -5.333           6.384
              82           9.333           6.349
              83           1.667           6.371
              84           6.667           3.477
              85          -5.333           6.454
              86           1.333           3.813
              87           5.333           9.158
              88              -7           5.637
              89         -0.6667           3.509
              90           4.667           5.645
              91           1.333            12.4
              92          -16.33           3.255
              93           9.333           4.908
              94               3           5.033
              95              13           11.36
              96             -17           1.054
              97           11.33           3.694
              98               7           6.018
              99           1.667           5.975
             100              -7           4.619
             101           9.667           4.128
             102              11           5.774
             103           2.333           9.941
             104           6.333           8.037
             105              16            3.52
             106           1.333           5.915
             107               3           14.65
             108           6.333           5.994
             109          0.6667           3.783
             110               0           5.006
             111           5.667            10.3
             112          -4.333           3.186
             113          -8.667           2.377
             114              -2           2.095
             115           1.667           10.47
             116               2           2.819
             117         -0.3333           3.115
             118           4.667           3.928
             119              -5           11.59
             120             -18            3.52
             121             -10            6.16
             122           7.333           3.572
             123           5.667           9.209
             124               1           4.163
             125               4           5.223
             126           5.667           8.023
             127           13.67           6.694
APV               20              11               7               1
               0          -12.89           44.12
               1          -91.22           51.26
               2          -117.1           38.08
               3          -30.75           100.2
               4          -69.56           34.46
               5          -106.7           35.17
               6          -129.6           22.92
               7          -66.22           48.24
               8             -95           25.73
               9          -109.4           39.72
              10           97.47           59.62
              11            22.8           68.84
              12               9           26.13
              13          -59.67           29.33
              14          -92.67           36.69
              15          -107.5           72.64
              16          -79.89           24.07
              17          -70.22           26.82
              18          -103.8           40.29
              19          -40.41           94.76
              20             -88           43.82
              21          -103.1           39.85
              22          -163.8           42.54
              23          -113.8           71.52
              24          -44.56           38.12
              25          -100.4           40.88
              26          -102.9           38.91
              27          -66.47           74.98
              28          -82.11           25.95
              29          -89.67           32.74
